category,part_number,description,manufacturer,supplier,supplier_url,unit_price_usd,quantity,extended_price_usd,corpus_citation,notes
# Free Humanoid Wheeled — Wheeled Base v0.1 reference BOM,,,,,,,,,,
# REFERENCE BOM — NOT VALIDATED BY PHYSICAL BUILD. Phase 1 spec: vendor-pinned commercial-off-the-shelf components from T-Motor + mjbots + Igus + ServoCity + McMaster + Livox + u-blox + Quectel + NVIDIA + Bioenno. All prices ~2026 retail USD at unit-quantity-1 academic pricing. Confirm vendor part numbers and prices before purchase.,,,,,,,,,,
# Architectural commitments shielded: §9 #1 (differential-drive base — dlr-justin/pr2/pepper-softbank/toyota-hsr); §9 #3 (15-inch pneumatic + QDD direct-drive — mit-cheetah-2/mjbots-moteus/dlr-justin); §9 #4 (battery + UPS — hyundai-boston-dynamics-spot/spot-fuel-cell/apptronik-apollo/tesla-optimus); §9 #5 (tower-stand torso lift — toyota-hsr); §9 #7 (lidar+GPS+5G+IMU outdoor sensing — dlr-justin/pr2/hyundai-boston-dynamics-spot).,,,,,,,,,,
drive_motor,T-MOTOR-AK60-6,"T-Motor AK60-6 v1.1 BLDC quasi-direct-drive motor, 9 Nm continuous / 24 Nm peak (motor-side), 36V nominal, KV100, integrated 14-bit absolute encoder",T-Motor (CubeMars),CubeMars,https://store.cubemars.com/products/ak60-6-v1-1,300.00,2,600.00,mit-cheetah-2,"estimate; confirm before purchase. Two drive-wheel motors. Architecture corpus mit-cheetah-2 / mini-cheetah; the AK60-6 is a commodity QDD in this class. ~10:1 planetary reduction at the wheel hub gives ~80 Nm continuous / 240 Nm peak at the wheel."
drive_motor_controller,moteus-n1,"mjbots Moteus n1 brushless servo controller, CAN-FD, FOC + impedance + torque modes, 24-44V bus",mjbots Robotic Systems,mjbots.com,https://mjbots.com/products/moteus-n1,199.00,2,398.00,mjbots-moteus,"price confirmed approximately from mjbots public listing 2026-Q1. One per drive wheel. Same controller class shared across upper-body actuator drivers (16 additional units inherited from bipedal sibling — accounted there)."
drive_planetary,APEX-AB060-010,"APEX Dynamics AB060 inline planetary gearhead, 10:1 ratio, 24 Nm rated input, NEMA-23 output flange, fits AK60-6 motor shaft",APEX Dynamics,Misumi,https://us.misumi-ec.com,420.00,2,840.00,sumitomo-cyclo,"estimate; confirm before purchase. Substitute Sumitomo Cyclo CHHM-08 (corpus: sumitomo-cyclo) for production. 10:1 planetary at the wheel hub."
drive_wheel,SC-3801-PNEUM-15,"ServoCity 15-inch pneumatic wheel with 12 mm bore hub adapter, 250 lb static load, knobby tread for outdoor curb tolerance",ServoCity,ServoCity,https://www.servocity.com,90.00,2,180.00,dlr-justin,"estimate; confirm before purchase. Pneumatic for 50 mm curb tolerance per dlr-justin / pr2 outdoor-variant precedent."
caster,MCM-2810T7,"McMaster 2810T7 heavy-duty pneumatic-tire swivel caster, 8-inch wheel, 250 lb capacity, top-plate mount, swivel free in azimuth",McMaster-Carr,McMaster-Carr,https://www.mcmaster.com/2810T7/,75.00,2,150.00,pr2,"estimate; confirm before purchase. Front passive casters per dlr-justin / pr2 caster-front + drive-rear differential-drive pattern."
tower_linear_stage,IGUS-SHTS-15-300,"Igus DryLin SHTS-15 carbon-rail linear stage, 300 mm travel, T-slot mount, IGUS DryLin polymer bearings (lubricant-free)",Igus,Igus,https://www.igus.com/product/SHTS,650.00,1,650.00,toyota-hsr,"estimate; confirm before purchase. Provides the +/-150 mm prismatic torso lift. Corpus citation: toyota-hsr telescoping-torso. Carbon-rail variant for stiffness; aluminum is cheaper if mass budget allows."
tower_stepper,STEPPERONLINE-23HS45,"StepperOnline 23HS45-4204S NEMA-23 stepper motor, 4.2 A, 1.9 Nm holding torque, 1.8 deg/step",StepperOnline (OMC),StepperOnline,https://www.omc-stepperonline.com/nema-23-stepper-motor,40.00,1,40.00,,"estimate; confirm before purchase. Belt-drives the linear stage. Phase 2 architectural call: GT2 belt vs. Igus dryspin leadscrew."
tower_stepper_driver,TMC2209-CARRIER,"Trinamic TMC2209 stepper driver on a Moteus-bus carrier (CAN-FD addressable), 2 A peak, 256 microstep",Trinamic / Custom Carrier,Mouser / DIY,https://www.mouser.com,40.00,1,40.00,,"estimate; confirm before purchase. Lives on the Moteus CAN-FD bus alongside drive motors and upper-body actuators. Phase 2 alternative: integrate into Moteus n1 stepper firmware variant."
lidar,LIVOX-MID-360,"Livox MID-360 360-deg non-repetitive scan lidar, 40 m range at 80% reflectivity, 20 Hz frame rate, IP67, ethernet output",Livox (DJI affiliate),Livox direct,https://www.livoxtech.com/mid-360,1500.00,1,1500.00,dlr-justin,"estimate; confirm before purchase. Tower-top lidar for dock approach, obstacle avoidance, curbedge detection. Corpus citation: dlr-justin (lidar + tilt-supervised drive), pr2 (post-2012 lidar additions), hyundai-boston-dynamics-spot (outdoor lidar precedent). Substitute Ouster OS0-32 (~$5k) for production."
gps_rtk_receiver,UBLOX-ZED-F9P,"u-blox ZED-F9P-02B-01B multi-band RTK GNSS receiver, L1/L2/L5, 10 Hz",u-blox,Ardusimple,https://www.ardusimple.com,250.00,1,250.00,,"estimate; confirm before purchase. RTCM corrections via NTRIP from public mountpoint (UNAVCO / state DOT) or via the dock-B's RTK base station. ~1 cm CEP after fix."
gps_rtk_carrier,ARDUSIMPLE-RTK2B-PRO,"Ardusimple SimpleRTK2B-Pro carrier board for ZED-F9P, USB + UART + I2C, MMCX antenna",Ardusimple,Ardusimple,https://www.ardusimple.com/product/simplertk2b-pro,200.00,1,200.00,,"estimate; confirm before purchase. Pairs with ZED-F9P module."
gps_antenna,UBLOX-ANN-MB-00,"u-blox ANN-MB-00 dual-frequency L1/L2 helical RTK antenna, magnetic-mount, 5 m cable",u-blox,Ardusimple,https://www.ardusimple.com,80.00,1,80.00,,"estimate; confirm before purchase. Tower-top mount above lidar."
imu_production,VECTORNAV-VN100-SMD,"VectorNav VN-100 surface-mount industrial AHRS, 9-DoF, 800 Hz IMU + 200 Hz EKF, RS-232/SPI/UART",VectorNav,VectorNav,https://www.vectornav.com/products/detail/vn-100,1500.00,1,1500.00,roetenberg-xsens-imu,"estimate; confirm before purchase. Production-grade AHRS for the slope-tilt and curbedge invariants. Phase 1 budget alternate: BNO055 below."
imu_phase1_budget,ADAFRUIT-BNO055,"Adafruit BNO055 Absolute Orientation 9-DoF Bosch IMU + sensor fusion, I2C/UART",Bosch / Adafruit,Adafruit,https://www.adafruit.com/product/2472,30.00,1,30.00,,"estimate; confirm before purchase. Phase 1 bench / sim alternate to VectorNav VN-100. Sufficient for tilt-supervisor on a flat dock-B; production deployments on uneven ground use VN-100."
modem_5g,QUECTEL-RM502Q-AE,"Quectel RM502Q-AE 5G Sub-6 / LTE Cat 20 M.2 modem, 4-port MIMO, NSA + SA, North America bands",Quectel,Mouser,https://www.mouser.com,300.00,1,300.00,,"estimate; confirm before purchase. For fleet coordination over public network when WiFi 6 LAN at the dock-B is unavailable. Pair with a Waveshare USB-to-M.2 carrier and a 4-port MIMO antenna kit."
modem_5g_carrier,WAVESHARE-M2-USB,"Waveshare USB to M.2 5G modem carrier with SIM slot, 4 antenna leads",Waveshare,Waveshare,https://www.waveshare.com,80.00,1,80.00,,"estimate; confirm before purchase. Hosts the RM502Q-AE."
wifi_router,GLINET-MT3000,"GL.iNet GL-MT3000 Beryl AX WiFi 6 travel router, 1.8 Gbps, OpenWrt, dual ethernet",GL.iNet,Amazon,https://www.gl-inet.com/products/gl-mt3000,100.00,1,100.00,,"estimate; confirm before purchase. On-platform WiFi 6 access for upstream LAN at the dock; backhauls to 5G modem. ROS 2 DDS rides on the LAN."
compute_main,JETSON-ORIN-NANO-SUPER,"NVIDIA Jetson Orin Nano Super Developer Kit, 8GB, 67 TOPS, JetPack 6.x",NVIDIA,Sparkfun,https://www.sparkfun.com/products/24655,250.00,1,250.00,nvidia-isaac-gym-2021,"price confirmed approximately. Onboard compute for vision + ROS 2 + differential-drive MPC. Mounted inside the chassis. Corpus citation: nvidia-isaac-gym-2021, nvidia-isaac-lab-2024, levine-gps-pr2-2016 (PR2-class compute heritage)."
compute_supervisor,RPI-4B-8GB,"Raspberry Pi 4 Model B, 8GB, with Pi-Hat for sensor I/O (analog + GPIO + CAN-FD via MCP2517)",Raspberry Pi Foundation,Sparkfun,https://www.sparkfun.com/products/16095,75.00,1,75.00,sherman-simplex-architecture,"estimate; confirm before purchase. Safety supervisor on a separate compute domain per Simplex pattern (corpus: sherman-simplex-architecture). Hosts the slope-tilt, edge-proximity, and low-battery-on-shore-power invariants."
battery_phase1,BIOENNO-BLF-2450A,"Bioenno BLF-2450A 24V 50Ah LiFePO4 battery pack with internal BMS, ~1.2 kWh, AGV-class",Bioenno Power,Bioenno Power,https://www.bioennopower.com,800.00,2,1600.00,hyundai-boston-dynamics-spot,"estimate; confirm before purchase. Two modules between the drive wheels for low COM. Phase 1: 24V bus; Phase 2 architectural call: stay 24V vs. step up to 48V (RoyPow S4830 or similar). Hot-swap pattern inherited from bipedal sibling commitment #6 (CC0 commons spec). Corpus citation: hyundai-boston-dynamics-spot, spot-fuel-cell, apptronik-apollo, tesla-optimus, unitree-h1 large-pack precedent."
ups_pack,VICTRON-UPS-12,"Victron Phoenix Smart 12V 0.2 kWh UPS pack for compute + supervisor + sensors, isolated from drive bus",Victron Energy,Battery Hookup,https://batteryhookup.com,200.00,1,200.00,,"estimate; confirm before purchase. Holds the safety-supervisor invariant hot for >= 20 minutes after a primary-battery fault. Phase 2 architectural call: Victron Phoenix vs. DIY pack."
power_distribution,POL-DC-DC-VAR,"Multi-output DC-DC power distribution: Vicor BCM-class 24V->48V drive bus + 5V/3.3V logic rails for compute + supervisor + sensors",Vicor + Pololu,Mouser + Pololu,https://www.mouser.com,250.00,1,250.00,,"estimate; confirm before purchase. Includes E-stop relay, current sense per rail, supervisor watchdog kill-switch."
frame_aluminum,8975K426,"McMaster 6061-T6 aluminum bar 1\" x 2\" x 12\", for chassis frame + tower stand structural members",McMaster-Carr,McMaster-Carr,https://www.mcmaster.com/8975K426/,28.50,8,228.00,,"estimate; confirm before purchase. Stock for the chassis frame and tower stand. Phase-2 fab milling."
frame_aluminum_sheet,8975K312,"McMaster 6061-T6 aluminum sheet 1/8\" x 24\" x 24\", for chassis covers + battery bays",McMaster-Carr,McMaster-Carr,https://www.mcmaster.com,90.00,2,180.00,,"estimate; confirm before purchase. Sheet stock for chassis paneling."
frame_print,HUBS-PA12-COVERS,"HP MJF PA12 / SLS PA12 print run for chassis covers + lidar mount + sensor brackets + battery-bay mating geometry (~600g of parts)",Hubs / Shapeways,Hubs,https://www.hubs.com,250.00,1,250.00,,"estimate; confirm before purchase. 3D-printed nylon covers and accessory parts. Includes the hot-swap battery-bay mating geometry per bipedal commitment #6."
fasteners,18-8-SHCS-ASSORT,"18-8 stainless socket-head cap-screw + nut + washer assortment, M3-M8, 6-40 mm lengths",Generic,McMaster-Carr,https://www.mcmaster.com,60.00,1,60.00,,"estimate; confirm before purchase. Standard 18-8 stainless (no marine corrosion concern for paved-environment service)."
status_signaling,COMET-AMBER-LED,"Slow-flash amber beacon + low-volume motion-warning chirp horn, IP65, 12-24V, for free-roam consent signaling",ECCO Safety / Generic,Amazon Industrial,https://www.amazon.com,80.00,1,80.00,iso-10218-collaborative-robots,"estimate; confirm before purchase. Per ARCHITECTURE 7 commitment: when in free-roam mode in shared pedestrian space, audible + visible signaling is active. Corpus citation: iso-10218-collaborative-robots."
estop_button,IDEC-XW1E-BV411MR,"IDEC XW1E-BV411MR mushroom-head emergency-stop button, 22mm, IP65, twist-to-release, NC contact",IDEC,Mouser,https://www.mouser.com,30.00,2,60.00,iso-10218-collaborative-robots,"estimate; confirm before purchase. Two buttons: one on the rear of the chassis, one on the tower stand at operator height. Wires direct to the safety-supervisor kill-switch."
shore_power_connector,ANDERSON-SB175,"Anderson SB175 175A locking power connector pair, for shore-power umbilical at dock-B charging station",Anderson Power Products,Mouser,https://www.mouser.com,55.00,2,110.00,,"estimate; confirm before purchase. Pair: one on the platform, one on the dock-B umbilical. 24V/48V DC bus."
shipping_overhead,SHIPPING,"Shipping + handling estimate for 6+ vendors (T-Motor/CubeMars, mjbots, Igus, McMaster, Livox, Ardusimple, Quectel, NVIDIA, Bioenno, Hubs)",,,, 200.00,1,200.00,,"estimate; confirm before purchase. Domestic + international freight + insured-shipment surcharges."
TOTAL,TOTAL,"Total reference BOM cost — one prototype wheeled base at unit-qty-1 academic pricing (production IMU + production lidar)",,,,,,10481.00,,"REFERENCE ONLY. Sums above. Confirm every line before purchase. Excludes labor, sales tax, upper-body parts (inherited from free-humanoid-platform — see that BOM), shoal dock-B interface fixtures (specific to clean_fish/shoal). With Phase 1 budget alternates (BNO055 IMU $30 vs VectorNav $1500): total drops to ~$8,981. Phase 1 trial budget for the wheeled-base subsystem alone is therefore ~$9-10.5k; add ~$15-20k for the inherited upper body to get a full-platform Phase 1 build."
